Song Name,Artist,Times Played,Last Played
"Prince Caspian","Phish",180,"2025-01-31"
"Twist","Phish",178,"2025-01-29"
"Horn","Phish",176,"2024-07-31"
"My Friend, My Friend","Phish",176,"2025-02-01"
"The Sloth","Phish",176,"2023-12-31"
"Contact","Phish",173,"2024-07-26"
"The Horse","Phish",171,"2024-07-26"
"Buried Alive","Phish",167,"2024-08-11"
"Punch You in the Eye","Phish",164,"2024-08-02"
"Limb By Limb","Phish",157,"2024-10-27"
"NICU","Phish",156,"2024-08-15"
"Halley's Comet","Phish",154,"2025-01-30"
"Dinner and a Movie","Phish",150,"2024-08-10"
"46 Days","Phish",148,"2025-01-30"
"Carini","Phish",146,"2025-01-29"
"Taste","Phish",146,"2025-01-30"
"Scent of a Mule","Phish",138,"2024-08-02"
"Birds of a Feather","Phish",135,"2024-08-07"
"Esther","Phish",135,"2024-07-27"
"Guyute","Phish",134,"2024-07-23"
"Big Black Furry Creature from Mars","Phish",133,"2024-08-09"
"The Wedge","Phish",131,"2025-01-30"
"Fly Famous Mockingbird","Phish",129,"2023-12-31"
"Colonel Forbin's Ascent","Phish",128,"2023-12-31"
"The Curtain","Phish",123,"2022-07-26"
"Gumbo","Phish",121,"2025-01-30"
"McGrupp and the Watchful Hosemasters","Phish",119,"2024-08-04"
"Mound","Phish",117,"2023-09-02"
"Glide","Phish",116,"2021-08-31"
"Kill Devil Falls","Phish",116,"2025-01-29"
"Axilla","Phish",113,"2024-08-18"
"Alumni Blues","Phish",112,"2023-07-12"
"Roggae","Phish",110,"2025-01-30"
"Makisupa Policeman","Phish",108,"2023-07-11"
"The Mango Song","Phish",108,"2024-12-28"
"Wading in the Velvet Sea","Phish",107,"2024-10-27"
"Big Ball Jam","Phish",102,"1994-12-09"
"Waste","Phish",102,"2024-12-29"
"Ocelot","Phish",100,"2024-08-29"
"Letter to Jimmy Page","Phish",97,"2023-07-12"
"Sleeping Monkey","Phish",95,"2024-10-25"
"Tela","Phish",92,"2023-12-31"
"Fuego","Phish",90,"2025-01-31"
"Farmhouse","Phish",89,"2025-02-01"
"Cars Trucks Buses","Phish",88,"2025-01-31"
"Blaze On","Phish",87,"2025-01-30"
"The Man Who Stepped Into Yesterday","Phish",84,"2023-12-31"
"Water in the Sky","Phish",84,"2022-07-15"
"All Things Reconsidered","Phish",81,"1997-02-23"
"Stealing Time From the Faulty Plan","Phish",81,"2024-08-04"
"No Men In No Man's Land","Phish",79,"2025-01-30"
"Fast Enough for You","Phish",78,"2024-02-23"
"Walls of the Cave","Phish",75,"2024-10-27"
"Meatstick","Phish",73,"2024-08-17"
"Magilla","Phish",71,"2003-07-22"
"What's the Use?","Phish",68,"2024-12-31"
"If I Could","Phish",67,"2024-07-31"
"Strange Design","Phish",67,"2024-08-30"
"555","Phish",66,"2024-08-07"
"Harpua","Phish",66,"2023-12-31"
"Billy Breathes","Phish",65,"2024-08-04"
"Steam","Phish",65,"2024-10-25"
"Camel Walk","Phish",64,"2023-07-18"
"Lifeboy","Phish",61,"2024-07-27"
"Brother","Phish",60,"2021-10-15"
"Train Song","Phish",59,"2024-08-06"
"Axilla (Part II)","Phish",58,"2024-12-28"
"Joy","Phish",56,"2024-07-21"
"Destiny Unbound","Phish",55,"2024-08-04"
"Waves","Phish",55,"2024-08-10"
"Dog Faced Boy","Phish",54,"2021-10-30"
"Halfway to the Moon","Phish",54,"2025-01-30"
"Brian and Robert","Phish",53,"2024-07-26"
"Seven Below","Phish",50,"2024-12-30"
"A Song I Heard the Ocean Sing","Phish",49,"2024-07-28"
"Meat","Phish",49,"2024-07-30"
"Vultures","Phish",48,"2024-07-30"
"Martian Monster","Phish",46,"2025-02-01"
"Weigh","Phish",46,"2024-08-10"
"Sanity","Phish",45,"2024-02-24"
"Say It To Me S.A.N.T.O.S.","Phish",45,"2025-01-31"
"Scents and Subtle Sounds","Phish",45,"2024-08-17"
"Twenty Years Later","Phish",45,"2025-01-30"
"Wingsuit","Phish",42,"2024-08-04"
"Dogs Stole Things","Phish",41,"2022-07-31"
"The Curtain With","Phish",41,"2024-07-24"
"Mercury","Phish",40,"2024-10-27"
"Driver","Phish",39,"2024-12-28"
"Kung","Phish",38,"2019-11-30"
"Party Time","Phish",38,"2024-08-18"
"Catapult","Phish",36,"2021-09-05"
"The Line","Phish",35,"2018-10-21"
"Ha Ha Ha","Phish",33,"2021-08-27"
"Steep","Phish",33,"2021-08-28"
"Sugar Shack","Phish",33,"2024-08-29"
"Swept Away","Phish",33,"2021-08-28"
"Waiting All Night","Phish",33,"2021-10-24"
"Frankie Says","Phish",32,"2023-07-30"
"Lengthwise","Phish",32,"2024-12-30"
"Yarmouth Road","Phish",32,"2022-07-24"
"Grind","Phish",31,"2024-12-31"
"Shade","Phish",31,"2025-01-30"
"Icculus","Phish",30,"2024-12-31"
"Acoustic Army","Phish",27,"1995-12-08"
"Army of One","Phish",27,"2023-07-26"
"Dog Log","Phish",24,"2024-09-01"
"The Asse Festival","Phish",24,"1991-04-27"
"Buffalo Bill","Phish",22,"2023-10-10"
"Crowd Control","Phish",22,"2022-08-02"
"Eliza","Phish",22,"1992-05-14"
"The Vibration of Life","Phish",22,"1996-11-19"
"Wombat","Phish",22,"2022-08-10"
"Flat Fee","Phish",21,"1991-07-27"
"I Always Wanted It This Way","Phish",21,"2024-12-28"
"Dave's Energy Guide","Phish",20,"1995-06-28"
"Devotion To a Dream","Phish",20,"2016-10-15"
"Fuck Your Face","Phish",20,"2024-12-28"
"Miss You","Phish",20,"2024-07-31"
"Your Pet Cat","Phish",20,"2024-08-16"
"Bittersweet Motel","Phish",19,"2021-08-28"
"The Howling","Phish",19,"2024-10-25"
"Ass Handed","Phish",18,"2023-07-22"
"Sleep","Phish",18,"2019-11-29"
"Turtle in the Clouds","Phish",18,"2024-07-31"
"Breath and Burning","Phish",17,"2022-07-24"
"The Dogs","Phish",17,"2024-08-04"
"The Final Hurrah","Phish",17,"2024-08-04"
"Demand","Phish",16,"2016-07-20"
"Leaves","Phish",16,"2024-07-24"
"All of These Dreams","Phish",15,"2023-04-17"
"Mexican Cousin","Phish",15,"2019-07-06"
"Talk","Phish",15,"2023-10-13"
"Who Do? We Do!","Phish",15,"1990-03-10"
"Keyboard Army","Phish",14,"2015-09-06"
"Mull","Phish",14,"2025-01-29"
"Taste That Surrounds","Phish",14,"1995-12-29"
"Dear Mrs. Reagan","Phish",13,"1989-01-18"
"Death Don't Hurt Very Long","Phish",13,"2024-08-07"
"Friday","Phish",13,"2016-10-25"
"Anything But Me","Phish",12,"2011-08-15"
"Faht","Phish",12,"1995-12-02"
"Rhombus Narration","Phish",12,"1991-11-15"
