Song Name,Artist,Times Played,Last Played
"You Enjoy Myself","Phish",615,"2024-12-29"
"Possum","Phish",568,"2025-01-31"
"Mike's Song","Phish",535,"2025-01-29"
"Chalk Dust Torture","Phish",513,"2025-01-31"
"Weekapaug Groove","Phish",509,"2025-01-29"
"Bouncing Around the Room","Phish",490,"2024-12-31"
"Run Like an Antelope","Phish",482,"2025-01-29"
"Golgi Apparatus","Phish",479,"2024-12-31"
"Cavern","Phish",478,"2025-01-30"
"David Bowie","Phish",473,"2024-12-28"
"Stash","Phish",450,"2025-02-01"
"Suzy Greenberg","Phish",449,"2024-07-19"
"Divided Sky","Phish",438,"2024-12-30"
"Harry Hood","Phish",426,"2025-01-30"
"Reba","Phish",408,"2025-02-01"
"Runaway Jim","Phish",404,"2025-01-30"
"The Squirming Coil","Phish",371,"2024-12-31"
"Foam","Phish",353,"2024-07-27"
"I Am Hydrogen","Phish",349,"2025-01-29"
"Split Open and Melt","Phish",346,"2024-12-31"
"Maze","Phish",342,"2025-01-31"
"AC/DC Bag","Phish",334,"2024-12-29"
"Sparkle","Phish",333,"2023-09-01"
"The Lizards","Phish",328,"2024-07-27"
"Llama","Phish",321,"2024-12-31"
"Down with Disease","Phish",315,"2024-12-30"
"Rift","Phish",311,"2024-12-29"
"Bathtub Gin","Phish",310,"2025-02-01"
"Poor Heart","Phish",310,"2024-12-28"
"Sample in a Jar","Phish",308,"2024-12-29"
"Wilson","Phish",297,"2024-08-10"
"Slave to the Traffic Light","Phish",287,"2024-12-31"
"Fee","Phish",286,"2024-08-30"
"Fluffhead","Phish",282,"2024-12-30"
"I Didn't Know","Phish",263,"2024-08-03"
"Character Zero","Phish",254,"2025-01-30"
"My Sweet One","Phish",253,"2025-01-29"
"It's Ice","Phish",249,"2024-08-07"
"Wolfman's Brother","Phish",240,"2025-01-31"
"Julius","Phish",236,"2024-08-09"
"Free","Phish",229,"2025-01-29"
"Ghost","Phish",221,"2025-01-29"
"Lawn Boy","Phish",220,"2024-07-31"
"The Oh Kee Pa Ceremony","Phish",220,"2024-08-02"
"The Landlady","Phish",214,"2022-08-14"
"Guelah Papyrus","Phish",206,"2024-08-30"
"The Moma Dance","Phish",203,"2025-01-31"
"Piper","Phish",202,"2025-01-30"
"Theme From the Bottom","Phish",191,"2025-01-29"
"Silent in the Morning","Phish",186,"2024-07-26"
